,timestamp,Calidad_Agua,prediction-Calidad_Agua-
0,1/5/06,cluster_3,cluster_3
1,1/6/06,cluster_0,cluster_2
2,1/8/06,cluster_0,cluster_3
3,1/11/06,cluster_1,cluster_3
4,1/12/06,cluster_1,cluster_1
5,1/13/06,cluster_3,cluster_3
6,1/21/06,cluster_3,cluster_3
7,1/26/06,cluster_1,cluster_1
8,2/3/06,cluster_3,cluster_3
9,2/7/06,cluster_1,cluster_3
10,2/10/06,cluster_3,cluster_3
11,2/12/06,cluster_3,cluster_3
12,2/15/06,cluster_1,cluster_3
13,2/17/06,cluster_3,cluster_3
14,2/19/06,cluster_0,cluster_0
15,2/20/06,cluster_2,cluster_0
16,2/24/06,cluster_2,cluster_0
17,2/26/06,cluster_2,cluster_0
18,3/2/06,cluster_2,cluster_0
19,3/12/06,cluster_0,cluster_3
20,3/15/06,cluster_1,cluster_0
21,3/18/06,cluster_3,cluster_0
22,3/23/06,cluster_1,cluster_1
23,3/26/06,cluster_3,cluster_3
24,3/27/06,cluster_1,cluster_3
25,3/28/06,cluster_1,cluster_3
26,3/30/06,cluster_1,cluster_3
27,3/31/06,cluster_3,cluster_3
28,4/7/06,cluster_3,cluster_3
29,4/9/06,cluster_3,cluster_3
30,4/10/06,cluster_1,cluster_3
31,4/15/06,cluster_0,cluster_2
32,4/20/06,cluster_1,cluster_3
33,4/22/06,cluster_3,cluster_3
34,4/26/06,cluster_1,cluster_3
35,4/27/06,cluster_1,cluster_3
36,4/30/06,cluster_3,cluster_3
37,5/2/06,cluster_1,cluster_3
38,5/5/06,cluster_0,cluster_3
39,5/9/06,cluster_1,cluster_3
40,5/14/06,cluster_3,cluster_3
41,5/16/06,cluster_1,cluster_3
42,5/19/06,cluster_3,cluster_3
43,5/21/06,cluster_3,cluster_3
44,5/31/06,cluster_1,cluster_1
45,6/13/06,cluster_1,cluster_1
46,6/18/06,cluster_3,cluster_3
47,6/19/06,cluster_1,cluster_1
48,6/20/06,cluster_1,cluster_1
49,6/21/06,cluster_1,cluster_1
50,6/27/06,cluster_1,cluster_1
51,6/28/06,cluster_1,cluster_1
52,6/30/06,cluster_3,cluster_3
53,7/4/06,cluster_1,cluster_1
54,7/9/06,cluster_0,cluster_3
